#{"t_start": 1760706908.3570316, "env_id": "CartPole-v1"}
r,l,t
13.0,13,241.950598
15.0,15,241.951882
14.0,14,241.953007
16.0,16,241.954315
31.0,31,241.956653
18.0,18,241.958174
33.0,33,241.960655
14.0,14,241.961768
14.0,14,241.962843
23.0,23,241.964744
31.0,31,241.967092
11.0,11,241.967984
35.0,35,241.970616
25.0,25,241.972696
16.0,16,241.973981
13.0,13,241.975007
14.0,14,241.976109
16.0,16,241.977541
30.0,30,241.979806
24.0,24,241.981626
16.0,16,241.983027
14.0,14,241.984234
30.0,30,241.98661
50.0,50,241.99031
14.0,14,241.991429
11.0,11,241.992404
20.0,20,241.993971
82.0,82,241.999973
57.0,57,242.004202
22.0,22,242.005986
10.0,10,242.006795
13.0,13,242.00784
35.0,35,242.010619
15.0,15,242.011909
15.0,15,242.013083
15.0,15,242.014353
55.0,55,242.019324
18.0,18,242.020852
37.0,37,242.023655
21.0,21,242.025312
13.0,13,242.026383
14.0,14,242.027744
18.0,18,242.029192
10.0,10,242.029982
15.0,15,242.031182
9.0,9,242.031991
31.0,31,242.034326
23.0,23,242.036838
19.0,19,242.039688
27.0,27,242.043775
25.0,25,242.047606
20.0,20,242.051018
9.0,9,242.052697
27.0,27,242.057495
29.0,29,242.063128
22.0,22,242.067571
14.0,14,242.070111
19.0,19,242.072092
16.0,16,242.073697
18.0,18,242.075466
19.0,19,242.077725
19.0,19,242.079672
12.0,12,242.080855
12.0,12,242.082023
28.0,28,242.084576
29.0,29,242.087289
12.0,12,242.088442
25.0,25,242.090675
17.0,17,242.092216
21.0,21,242.094234
13.0,13,242.095469
12.0,12,242.096636
21.0,21,242.098537
19.0,19,242.100661
21.0,21,242.102617
35.0,35,242.105835
53.0,53,242.110439
24.0,24,242.112737
17.0,17,242.114283
17.0,17,242.11583
12.0,12,242.11706
32.0,32,242.120121
53.0,53,242.125676
18.0,18,242.127461
31.0,31,242.130359
19.0,19,242.132186
15.0,15,242.133513
19.0,19,242.135238
22.0,22,242.13733
24.0,24,242.139578
18.0,18,242.141228
22.0,22,242.143324
24.0,24,242.145649
16.0,16,242.147355
40.0,40,242.150945
10.0,10,242.15196
16.0,16,242.153486
21.0,21,242.155622
45.0,45,242.159754
11.0,11,242.160812
15.0,15,242.162251
11.0,11,242.16354
20.0,20,242.165405
26.0,26,242.167721
11.0,11,242.16881
21.0,21,242.170889
15.0,15,242.172346
15.0,15,242.173799
22.0,22,242.175872
13.0,13,242.177328
91.0,91,242.185393
16.0,16,242.186862
31.0,31,242.1897
20.0,20,242.191622
19.0,19,242.193322
15.0,15,242.194664
12.0,12,242.195745
15.0,15,242.197195
14.0,14,242.198514
21.0,21,242.200333
22.0,22,242.202247
15.0,15,242.203671
21.0,21,242.205532
18.0,18,242.20717
22.0,22,242.20914
23.0,23,242.211283
13.0,13,242.212488
26.0,26,242.214705
17.0,17,242.216231
29.0,29,242.220129
14.0,14,242.221511
17.0,17,242.223012
15.0,15,242.224383
20.0,20,242.226243
19.0,19,242.228028
15.0,15,242.229408
24.0,24,242.231545
