#{"t_start": 1760716355.7330248, "env_id": "CartPole-v1"}
r,l,t
500.0,500,32.73494
500.0,500,33.09932
500.0,500,34.800688
376.0,376,35.091911
202.0,202,35.237478
442.0,442,35.560917
436.0,436,35.909586
500.0,500,37.54295
273.0,273,37.840101
500.0,500,38.31163
365.0,365,38.651319
298.0,298,38.94936
346.0,346,40.68474
500.0,500,41.062225
363.0,363,41.329403
500.0,500,41.688305
496.0,496,42.057959
500.0,500,43.632572
500.0,500,43.993487
500.0,500,44.37309
500.0,500,44.732238
500.0,500,46.282803
500.0,500,46.644673
359.0,359,46.922686
500.0,500,47.3084
255.0,255,47.493736
500.0,500,49.122931
500.0,500,49.556459
500.0,500,49.992903
294.0,294,50.291155
500.0,500,52.38146
500.0,500,52.751425
500.0,500,53.120472
500.0,500,53.496511
500.0,500,55.05393
500.0,500,55.421605
500.0,500,55.794811
500.0,500,56.157209
500.0,500,57.734756
500.0,500,58.101348
500.0,500,58.470878
500.0,500,58.853394
500.0,500,59.235276
500.0,500,60.893078
500.0,500,61.266465
500.0,500,61.622059
500.0,500,61.992302
500.0,500,64.29445
500.0,500,64.727643
500.0,500,65.151695
500.0,500,65.512906
500.0,500,67.13918
500.0,500,67.504603
500.0,500,67.86721
500.0,500,68.24809
500.0,500,69.821278
500.0,500,70.255102
500.0,500,70.642786
500.0,500,71.003622
500.0,500,72.515545
500.0,500,72.871526
500.0,500,73.230027
500.0,500,73.605929
500.0,500,75.414579
500.0,500,75.876205
500.0,500,76.372185
500.0,500,76.901014
500.0,500,78.445108
500.0,500,78.815509
500.0,500,79.178015
500.0,500,79.543468
500.0,500,81.061669
500.0,500,81.431
500.0,500,81.81396
500.0,500,82.181149
500.0,500,83.675358
500.0,500,84.051674
500.0,500,84.417991
500.0,500,84.78657
500.0,500,86.344157
500.0,500,86.700371
500.0,500,87.173747
500.0,500,87.659371
500.0,500,88.148087
500.0,500,90.124961
500.0,500,90.485771
500.0,500,90.842572
500.0,500,91.216462
500.0,500,92.765589
500.0,500,93.132814
500.0,500,93.51528
500.0,500,93.870159
500.0,500,95.384574
500.0,500,95.746794
500.0,500,96.109519
500.0,500,96.486837
500.0,500,98.007931
500.0,500,98.393217
500.0,500,98.753241
500.0,500,99.117132
500.0,500,101.413485
500.0,500,101.89097
500.0,500,102.257105
500.0,500,102.618422
500.0,500,104.144269
500.0,500,104.512673
500.0,500,104.917451
500.0,500,105.334979
500.0,500,106.840262
500.0,500,107.199144
500.0,500,107.557664
500.0,500,107.953624
500.0,500,109.471086
500.0,500,109.838794
500.0,500,110.225698
500.0,500,110.588889
500.0,500,112.277376
