#{"t_start": 1760405989.0367465, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,519,4.549572
1.0,618,6.399015
4.0,1188,8.97259
0.0,536,9.923863
0.0,525,10.724341
1.0,713,12.182477
1.0,622,13.344346
2.0,824,14.847646
0.0,533,15.826617
3.0,1016,17.796513
4.0,1135,19.981877
4.0,1216,22.376013
0.0,513,23.373815
0.0,517,24.353259
0.0,523,25.354386
0.0,515,26.315666
0.0,537,27.296432
2.0,793,28.748939
2.0,910,30.568464
1.0,626,31.736905
0.0,519,32.684439
0.0,529,33.700071
0.0,520,34.674051
1.0,617,35.811354
0.0,512,36.781199
2.0,882,38.381841
2.0,812,40.046299
2.0,806,41.545252
8.0,1502,44.534515
0.0,515,45.458637
3.0,1088,47.569622
2.0,913,49.187232
2.0,914,51.005728
1.0,683,52.270485
0.0,533,53.228521
2.0,817,54.885317
2.0,827,56.424513
0.0,541,57.421259
1.0,715,58.692636
0.0,524,59.644079
5.0,1322,62.345865
0.0,519,63.140054
0.0,541,64.118975
3.0,1089,66.199794
4.0,1116,68.300029
0.0,508,69.25405
0.0,532,70.218795
0.0,523,71.176162
4.0,1208,73.522057
5.0,1326,76.175842
0.0,515,77.102373
1.0,714,78.358612
3.0,1005,80.280478
0.0,516,81.231786
2.0,800,82.665764
4.0,1224,84.993973
0.0,541,85.999585
4.0,1217,88.273488
2.0,818,89.885511
3.0,1020,91.847922
3.0,1008,93.679547
1.0,697,95.118829
9.0,1706,98.341245
1.0,732,99.657749
1.0,628,100.804405
2.0,836,102.447617
0.0,529,103.411349
0.0,541,104.413884
2.0,794,105.8571
0.0,529,106.79575
2.0,824,108.266332
3.0,1005,110.217231
0.0,505,111.13159
2.0,828,112.612417
2.0,826,114.219363
2.0,779,115.575569
0.0,516,116.530572
3.0,984,118.487376
0.0,529,119.408907
1.0,644,120.524595
0.0,523,121.502581
1.0,636,122.642753
0.0,524,123.594037
2.0,833,125.071341
2.0,822,126.700144
0.0,516,127.682748
3.0,1017,129.671427
3.0,1092,131.764594
3.0,1019,133.615699
2.0,912,135.37037
6.0,1464,138.27238
0.0,536,139.233668
3.0,951,140.913077
5.0,1243,143.440896
0.0,528,144.408601
0.0,499,145.177697
5.0,1221,147.650749
0.0,532,148.608909
0.0,531,149.567418
0.0,540,150.390519
7.0,1009,152.335938
7.0,1595,155.472804
5.0,1196,157.697766
10.0,1814,161.291016
0.0,523,162.287718
1.0,619,163.412143
8.0,1695,166.680376
15.0,2094,170.883381
0.0,527,171.863539
1.0,719,173.181552
0.0,535,174.118241
9.0,1614,177.223423
17.0,2256,181.544751
12.0,2026,185.506965
14.0,2216,189.770626
12.0,1219,192.14448
13.0,2188,196.400101
3.0,1027,198.374892
11.0,1912,201.921273
0.0,532,202.870548
17.0,2442,207.70431
1.0,728,208.967812
3.0,1055,211.02665
8.0,1883,214.563443
1.0,726,216.017984
15.0,2372,220.535779
0.0,536,221.473484
2.0,935,223.268005
0.0,540,224.225294
12.0,1163,226.419146
11.0,1099,228.52335
10.0,1814,231.925375
11.0,1099,234.014567
17.0,2502,238.892058
16.0,2228,243.119553
9.0,2223,247.35835
8.0,1207,249.743128
5.0,1515,252.494915
11.0,2014,256.419798
7.0,1695,259.577996
2.0,904,261.291403
7.0,1545,264.232764
10.0,1563,267.222362
3.0,1044,269.172932
11.0,2022,273.082877
7.0,1583,275.887568
5.0,1255,278.330624
13.0,2241,282.592494
9.0,2135,286.722479
12.0,1857,290.321042
2.0,828,291.794917
13.0,2175,295.89925
11.0,1931,299.615626
12.0,1231,301.839833
10.0,1535,304.820231
6.0,1542,307.751941
19.0,2501,312.386615
6.0,1611,315.412428
8.0,1827,318.942411
18.0,2407,323.425281
3.0,869,325.086719
4.0,1219,327.409598
4.0,1236,329.852989
9.0,1542,332.615704
13.0,2066,336.546482
14.0,2368,341.131806
22.0,2716,346.2589
6.0,1367,348.905608
10.0,2031,352.671817
13.0,2132,356.714857
4.0,1233,359.132141
11.0,1855,362.606456
5.0,1362,365.253214
15.0,2037,369.133569
10.0,1756,372.397314
12.0,2393,376.870466
5.0,1445,379.649589
6.0,1630,382.743094
8.0,1885,386.426913
7.0,1665,389.546264
12.0,1219,391.795226
11.0,1784,395.0847
4.0,1220,397.334584
14.0,1683,400.747197
14.0,2036,404.605311
6.0,1507,407.309446
9.0,1392,410.086948
7.0,1747,413.322641
11.0,2381,417.943544
6.0,1722,421.209548
20.0,2708,426.341715
7.0,1564,429.319107
12.0,2473,434.078965
20.0,2644,439.104368
11.0,1719,442.302072
8.0,1925,445.845147
8.0,1743,449.238847
12.0,2415,453.832115
10.0,1605,456.850019
13.0,1443,459.62167
20.0,2764,464.872807
9.0,1407,467.546085
14.0,1626,470.621571
17.0,2472,475.493957
4.0,1055,477.499715
14.0,1630,480.550803
12.0,1947,484.16145
9.0,1859,487.762284
8.0,1776,491.11399
17.0,2086,495.132256
16.0,1947,498.819549
23.0,1790,502.14326
5.0,1267,504.452339
20.0,3380,511.015992
20.0,2696,516.119241
13.0,2658,521.187313
11.0,1716,524.399434
14.0,2804,529.844401
20.0,2846,535.246224
9.0,1741,538.528485
12.0,2114,542.525383
9.0,1932,546.231393
25.0,2258,550.499167
24.0,2123,554.582929
18.0,2371,559.17307
16.0,2673,564.255725
18.0,3193,570.340337
19.0,2447,574.912737
10.0,2287,579.353801
10.0,1920,582.880569
14.0,2402,587.499536
17.0,2087,591.458694
26.0,3042,597.323236
12.0,2022,601.000982
7.0,1676,604.318022
20.0,2754,609.698534
18.0,2326,614.177283
19.0,2792,619.655876
10.0,2295,624.010421
17.0,2938,629.677692
16.0,2579,634.455397
13.0,2497,639.238003
11.0,1825,642.74828
13.0,2232,646.942734
16.0,1943,650.535872
12.0,2386,655.172149
20.0,2721,660.356015
15.0,2841,665.866319
11.0,2374,670.263946
23.0,3177,676.35281
17.0,2641,681.371947
23.0,2407,686.014956
15.0,2656,691.075172
20.0,2892,696.518071
35.0,3715,703.676733
20.0,2804,709.174477
20.0,2483,713.893715
3.0,1031,715.659142
16.0,1806,719.135113
12.0,2292,723.45177
