#{"t_start": 1760405989.3630335, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,524,4.251468
1.0,697,6.444062
3.0,1088,8.587444
0.0,541,9.550096
3.0,1106,11.686102
0.0,511,12.490825
4.0,1091,14.607522
2.0,917,16.385446
2.0,910,18.171548
0.0,533,19.140787
0.0,521,19.955139
1.0,637,21.308726
2.0,755,22.685781
1.0,717,24.003923
0.0,533,24.99636
1.0,627,26.185779
1.0,704,27.479754
0.0,509,28.454441
1.0,728,29.921371
1.0,697,31.234528
1.0,732,32.546753
1.0,630,33.750373
2.0,748,35.12987
0.0,539,36.145902
1.0,682,37.565534
2.0,813,39.044909
3.0,884,40.787291
1.0,640,41.987571
1.0,635,43.133661
5.0,1471,46.040666
2.0,814,47.525337
1.0,627,48.648345
0.0,520,49.624996
0.0,509,50.537006
0.0,524,51.52072
2.0,904,53.155344
2.0,799,54.77878
0.0,537,55.7639
0.0,517,56.730534
11.0,1879,60.388379
0.0,521,61.372975
0.0,529,62.339892
0.0,524,63.319958
3.0,1081,65.406214
2.0,834,66.821571
5.0,1426,69.647461
0.0,525,70.612342
1.0,708,71.913345
0.0,535,72.883772
4.0,1210,75.145956
2.0,817,76.794424
5.0,1410,79.433992
2.0,805,81.038512
3.0,1104,83.139335
4.0,1200,85.461887
3.0,1100,87.59588
3.0,1084,89.669832
2.0,800,91.132375
0.0,499,92.095735
0.0,516,93.036804
0.0,511,94.009072
0.0,537,94.97595
7.0,1772,98.328257
0.0,521,99.28305
2.0,902,101.087248
2.0,918,102.71212
0.0,519,103.713327
5.0,1430,106.573272
1.0,701,107.834464
4.0,1300,110.442492
1.0,694,111.688165
3.0,1001,113.604809
2.0,880,115.159321
0.0,536,116.114588
1.0,714,117.398151
0.0,537,118.379139
3.0,996,120.291693
4.0,1204,122.637094
5.0,1321,125.326828
2.0,818,126.816215
2.0,761,128.32829
1.0,628,129.475217
4.0,1288,131.896698
2.0,754,133.266973
5.0,1410,136.085976
7.0,1602,139.255737
4.0,1119,141.373898
2.0,923,143.175136
2.0,812,144.623563
0.0,535,145.589151
6.0,1492,148.560699
6.0,1484,151.519746
2.0,767,152.866077
0.0,516,153.819921
0.0,522,154.770191
0.0,528,155.737524
7.0,1682,158.92619
11.0,1111,161.005641
11.0,1107,163.137458
3.0,995,165.022607
0.0,528,165.96342
0.0,516,166.945703
0.0,515,167.766726
0.0,540,168.720707
12.0,1883,172.541927
12.0,2086,176.653465
2.0,832,178.115021
12.0,1299,180.67319
0.0,515,181.624934
2.0,832,183.08659
17.0,2322,187.680993
0.0,528,188.46952
13.0,2014,192.310432
8.0,1774,195.856385
9.0,1760,199.262044
4.0,1229,201.499027
0.0,507,202.437521
0.0,524,203.414681
9.0,1327,205.853748
0.0,528,206.785331
16.0,1337,209.416079
0.0,516,210.44148
12.0,1294,212.831062
13.0,2201,217.091577
5.0,1490,219.965512
7.0,1007,221.874068
8.0,1199,224.14929
1.0,640,225.260994
3.0,1145,227.445523
7.0,1011,229.38904
5.0,1352,231.852786
2.0,758,233.325802
10.0,2016,237.25371
2.0,939,238.884228
13.0,2119,242.93212
7.0,1741,246.333487
7.0,1015,248.073408
11.0,1888,251.769908
6.0,1561,254.76986
6.0,1547,257.710397
13.0,1483,260.529031
7.0,1713,263.744482
4.0,1164,265.901329
7.0,1636,269.047697
4.0,1003,270.919957
2.0,920,272.493248
5.0,1340,275.057031
7.0,1583,278.071023
13.0,1423,280.627104
6.0,1392,283.30706
13.0,2233,287.598324
15.0,1793,291.123311
15.0,2070,295.090273
4.0,1159,297.227992
3.0,1116,299.241378
15.0,2523,304.198599
3.0,956,305.851958
26.0,3240,312.005058
6.0,1596,315.035174
9.0,1884,318.686064
11.0,1095,320.711307
12.0,1972,324.493767
12.0,1294,326.940296
4.0,1243,329.226718
12.0,2021,333.107959
10.0,1505,335.970628
16.0,2505,340.769757
24.0,3168,346.815031
6.0,1560,349.772505
14.0,2498,354.407626
8.0,1757,357.874991
21.0,2356,362.366913
13.0,2205,366.583424
17.0,2904,372.234478
3.0,933,373.96963
13.0,2039,377.706849
14.0,2730,383.138575
8.0,1839,386.584751
9.0,2004,390.45655
12.0,1995,394.257201
6.0,1565,397.232149
12.0,1239,399.538334
12.0,1958,403.292572
12.0,1605,406.349832
7.0,1650,409.561134
11.0,1942,413.180858
13.0,2193,417.312112
9.0,2050,421.262478
7.0,1680,424.405075
7.0,1740,427.791644
12.0,2552,432.684365
15.0,1834,436.063942
13.0,2539,440.93501
16.0,2312,445.282306
12.0,2500,450.161986
8.0,1770,453.462797
10.0,2197,457.649134
19.0,2552,462.53734
21.0,2610,467.550597
12.0,2295,472.115943
17.0,2555,476.940241
9.0,1838,480.521653
21.0,2386,485.011209
21.0,3171,491.145869
9.0,1859,494.763527
21.0,2966,500.479857
12.0,1709,503.705206
16.0,1958,507.433299
18.0,2870,512.801177
17.0,2729,517.965823
12.0,2283,522.266075
14.0,2265,526.653487
14.0,2669,531.774325
16.0,1986,535.602317
18.0,2165,539.71586
14.0,2463,544.294759
15.0,2516,549.114522
16.0,2287,553.469836
15.0,2516,558.3095
14.0,2696,563.458941
14.0,2489,568.21824
14.0,1502,571.072777
10.0,1670,574.20285
13.0,1550,577.127205
11.0,2104,581.116246
15.0,2460,585.828706
14.0,2231,590.009678
22.0,2807,595.345712
14.0,2342,599.869529
10.0,1467,602.521071
13.0,2497,607.389608
11.0,2178,611.559823
12.0,2147,615.705318
16.0,2564,620.691743
10.0,2123,624.755644
22.0,1786,628.067395
21.0,2212,632.411759
5.0,1346,634.847777
19.0,2230,639.071589
16.0,2338,643.614407
18.0,2274,647.859326
16.0,2541,652.753025
10.0,1965,656.497866
16.0,2535,661.185287
13.0,2450,665.932676
16.0,2668,671.003086
10.0,2250,675.22218
28.0,2237,679.5744
21.0,2828,684.899901
15.0,2450,689.628358
11.0,2179,693.755834
13.0,2513,698.573732
20.0,2996,704.245425
14.0,2221,708.589389
14.0,2801,713.850717
18.0,2650,718.881219
29.0,2826,724.253031
24.0,3126,730.209613
20.0,2780,735.636626
13.0,2645,740.739981
11.0,1792,744.067765
20.0,2695,749.177402
19.0,2593,754.146426
16.0,2780,759.379927
14.0,2699,764.520355
17.0,2674,769.761243
13.0,1914,773.268535
11.0,1647,776.37292
16.0,2518,781.194621
29.0,1998,785.008465
22.0,2781,790.257337
33.0,2349,794.85812
15.0,2482,799.467937
8.0,1772,802.982863
12.0,2515,807.621878
19.0,1753,811.004883
11.0,2226,815.202512
21.0,2868,820.571768
21.0,2609,825.483124
16.0,1971,829.233432
26.0,1826,832.630308
25.0,2665,837.706507
20.0,2005,841.55179
15.0,2524,846.403346
25.0,2948,852.085597
17.0,2559,856.856833
21.0,3058,862.775661
14.0,2562,867.773499
21.0,1726,870.968939
17.0,1955,874.740597
31.0,2554,879.629818
12.0,2428,884.316103
14.0,2744,889.500887
12.0,2444,894.056404
24.0,2924,899.637896
11.0,2150,903.726894
25.0,2957,909.425242
14.0,1617,912.475582
14.0,2313,916.833515
29.0,2313,921.142204
16.0,2541,926.039215
18.0,2522,930.898355
33.0,3433,937.551594
24.0,3431,943.990324
20.0,1986,947.767455
16.0,1932,951.468529
32.0,3633,958.269758
22.0,2898,963.939004
24.0,1994,967.738195
9.0,1779,971.023848
24.0,3296,977.277312
16.0,2858,982.877063
24.0,2888,988.313444
11.0,2255,992.703734
23.0,2870,998.175753
21.0,2217,1002.350356
11.0,2106,1006.334225
14.0,2424,1010.999672
24.0,2102,1014.989707
18.0,2817,1020.339873
20.0,2057,1024.193751
19.0,1994,1027.976058
14.0,2350,1032.373175
24.0,3561,1039.23642
22.0,2671,1044.320294
16.0,2688,1049.439626
15.0,2899,1055.049542
24.0,2428,1059.579414
20.0,2854,1065.106748
34.0,3739,1072.23818
9.0,1863,1075.834349
9.0,1850,1079.256192
23.0,2736,1084.493654
26.0,2368,1089.091323
23.0,2880,1094.475746
8.0,1224,1096.709011
21.0,2762,1102.08872
21.0,3368,1108.458186
19.0,2192,1112.583244
28.0,3831,1120.041048
18.0,2498,1124.708148
21.0,2944,1130.372102
17.0,2390,1135.014113
18.0,3343,1141.320282
14.0,2457,1146.0591
27.0,3659,1153.07377
16.0,2694,1158.196548
25.0,3196,1164.325909
30.0,2938,1169.858043
28.0,3320,1176.320708
34.0,3635,1183.333422
25.0,2743,1188.505626
23.0,3202,1194.707099
30.0,3612,1201.637795
17.0,2809,1206.938005
12.0,1290,1209.450335
20.0,3134,1215.378479
15.0,1734,1218.61731
31.0,3465,1225.281696
14.0,2416,1229.812575
24.0,3551,1236.65218
19.0,2160,1240.730911
26.0,2440,1245.412411
20.0,2046,1249.131284
35.0,4049,1256.921955
25.0,3324,1263.444041
21.0,2311,1267.763436
26.0,3219,1273.944502
23.0,2795,1279.173304
26.0,3290,1285.631157
19.0,2266,1289.844986
16.0,1879,1293.343723
16.0,1766,1296.828927
27.0,3089,1302.759556
27.0,3058,1308.790036
18.0,2114,1312.837175
25.0,2691,1317.972473
26.0,3267,1324.191705
20.0,2378,1328.63449
21.0,2530,1333.544868
16.0,2622,1338.647463
31.0,3475,1345.46912
27.0,2277,1349.841111
25.0,2210,1353.997475
17.0,2712,1359.321958
33.0,2422,1363.853745
26.0,2940,1369.533729
17.0,2685,1374.634998
20.0,2824,1379.975194
15.0,1681,1383.114238
31.0,2666,1388.343023
20.0,2866,1393.829584
20.0,2777,1399.109449
20.0,3138,1405.101375
19.0,2563,1410.022845
22.0,2546,1414.851104
21.0,3018,1420.625705
23.0,2778,1425.876162
28.0,2550,1430.725
23.0,2706,1435.89537
24.0,2510,1440.706929
23.0,3311,1447.000458
20.0,2463,1451.76196
31.0,3550,1458.585092
19.0,2365,1462.977952
24.0,3202,1469.151172
21.0,2522,1474.006273
30.0,3281,1480.22192
19.0,2868,1485.78112
28.0,3340,1492.146535
21.0,2165,1496.238928
27.0,2927,1501.92749
22.0,3272,1508.187881
39.0,3283,1514.369495
18.0,2579,1519.297679
20.0,2515,1524.098565
21.0,2824,1529.470314
15.0,1685,1532.620103
20.0,2233,1536.956274
24.0,1979,1540.574299
19.0,2339,1545.100685
19.0,2895,1550.560199
29.0,2272,1554.978162
30.0,2298,1559.273322
28.0,2802,1564.588435
25.0,2709,1569.707587
19.0,2861,1575.223752
27.0,2925,1580.738038
25.0,3062,1586.685098
34.0,2964,1592.38557
31.0,3145,1598.382205
28.0,3426,1604.981976
9.0,1669,1608.149568
22.0,3185,1614.230833
20.0,2640,1619.258267
30.0,3261,1625.471614
17.0,2942,1631.166939
29.0,2865,1636.578221
26.0,3335,1642.944775
21.0,2607,1647.886686
39.0,2806,1653.365879
28.0,3613,1660.338832
17.0,2613,1665.261415
12.0,2150,1669.334015
19.0,2991,1674.927533
27.0,3450,1681.593884
30.0,2294,1685.928947
23.0,1944,1689.66684
22.0,3237,1695.851635
24.0,3345,1702.371131
29.0,3354,1708.715639
17.0,2490,1713.496547
16.0,2733,1718.6929
18.0,2061,1722.6117
26.0,3518,1729.384805
34.0,3468,1735.930088
15.0,2272,1740.22807
14.0,2656,1745.420528
29.0,2542,1750.132877
16.0,2756,1755.494429
19.0,2978,1761.086407
25.0,3175,1767.183671
18.0,2105,1771.177527
29.0,3130,1777.172879
12.0,2437,1781.923155
25.0,3202,1788.03216
14.0,2417,1792.634185
34.0,4071,1800.342381
28.0,3824,1807.733803
17.0,2483,1812.403123
18.0,3035,1818.236652
26.0,3358,1824.732429
27.0,2130,1828.782091
18.0,2671,1833.864402
21.0,3039,1839.714317
14.0,1925,1843.305471
24.0,2937,1848.929381
33.0,3423,1855.432758
31.0,3431,1862.122192
30.0,2953,1867.808452
27.0,2495,1872.476723
15.0,2418,1877.166512
16.0,2986,1882.850703
28.0,2512,1887.528715
48.0,4410,1896.122985
24.0,2425,1900.671658
27.0,3010,1906.468212
21.0,2781,1911.741814
39.0,4202,1919.952766
22.0,2577,1924.734927
42.0,4384,1933.316443
31.0,4028,1941.091268
13.0,1823,1944.453192
25.0,3057,1950.312031
22.0,3103,1956.265955
16.0,2886,1961.674143
13.0,2366,1966.275753
18.0,3228,1972.460255
25.0,3524,1979.336931
31.0,3538,1985.943751
24.0,3402,1992.485818
27.0,2350,1996.870395
26.0,3557,2003.739226
22.0,2602,2008.695937
28.0,2662,2013.733312
17.0,2077,2017.684235
27.0,2842,2023.01159
34.0,3350,2029.536837
24.0,3350,2035.877637
19.0,2360,2040.466899
26.0,3411,2046.954056
27.0,3023,2052.779694
14.0,2568,2057.663274
27.0,2241,2061.886198
15.0,2705,2066.998137
20.0,2375,2071.588447
11.0,1629,2074.678487
18.0,2551,2079.53827
15.0,2606,2084.522681
7.0,1720,2087.75383
31.0,3726,2094.895795
18.0,2808,2100.232327
21.0,2810,2105.696949
9.0,1750,2108.915584
19.0,2758,2114.205699
18.0,1613,2117.210414
21.0,2767,2122.573081
20.0,2369,2127.045867
16.0,2442,2131.72788
24.0,3494,2138.324355
14.0,1982,2142.144848
28.0,3561,2148.934019
18.0,2694,2154.035362
20.0,2810,2159.378787
28.0,3400,2165.959155
17.0,3035,2171.799409
19.0,2816,2177.166178
15.0,2680,2182.233562
24.0,2437,2186.952212
16.0,2571,2191.857349
22.0,2201,2196.006609
20.0,1862,2199.423944
13.0,2458,2204.146082
32.0,3817,2211.486078
16.0,2426,2216.201208
26.0,3082,2222.106319
30.0,3396,2228.496044
35.0,2485,2233.307874
43.0,4085,2241.184381
40.0,4518,2249.954452
15.0,2796,2255.264606
27.0,2434,2259.949643
24.0,2400,2264.407524
20.0,2979,2270.16152
19.0,2688,2275.277838
27.0,3417,2281.744842
24.0,3978,2289.457468
17.0,2280,2293.798283
19.0,3091,2299.660311
37.0,4049,2307.494945
19.0,2535,2312.309685
32.0,3804,2319.619483
19.0,2751,2324.845018
19.0,2712,2330.159986
22.0,3173,2336.196602
30.0,3412,2342.664948
33.0,3433,2349.31566
19.0,2330,2353.671897
11.0,2180,2357.795887
11.0,2229,2362.016575
27.0,3810,2369.565262
31.0,3756,2376.699931
32.0,3335,2382.967914
31.0,3211,2389.068938
23.0,3221,2395.411777
17.0,2926,2400.865868
19.0,2775,2406.168362
22.0,2165,2410.399067
34.0,4044,2418.039503
35.0,3807,2425.480402
18.0,2581,2430.230227
20.0,3068,2436.126843
31.0,4386,2444.667706
31.0,4166,2452.670142
26.0,2822,2458.021817
28.0,3614,2464.977642
30.0,2637,2470.01721
24.0,3452,2476.740255
16.0,2598,2481.677628
18.0,3360,2488.115211
18.0,2752,2493.365867
28.0,2960,2499.107574
26.0,3513,2505.959282
21.0,3517,2512.651411
57.0,5560,2523.595626
36.0,3599,2530.626433
24.0,2834,2536.100754
21.0,2536,2540.963714
28.0,2433,2545.661617
39.0,4921,2555.096459
15.0,1654,2558.146415
17.0,2067,2562.089753
21.0,2602,2567.143691
24.0,3008,2572.890938
20.0,2789,2578.13204
23.0,2937,2583.840364
16.0,2458,2588.409371
31.0,3094,2594.392028
30.0,4186,2602.537834
16.0,2341,2607.188934
19.0,2210,2611.412002
17.0,2387,2616.028353
51.0,4034,2623.797945
31.0,3748,2631.143358
22.0,3461,2637.703708
24.0,3070,2643.61805
17.0,2890,2649.237304
36.0,3674,2656.406055
21.0,3093,2662.33327
31.0,3457,2668.785211
53.0,4855,2678.23853
35.0,3201,2684.383553
32.0,3533,2691.06039
33.0,3773,2698.425725
39.0,4703,2707.511332
17.0,2892,2712.976353
33.0,3017,2718.757801
19.0,3098,2724.710675
29.0,2766,2729.963747
43.0,3585,2736.901192
25.0,3157,2742.890502
25.0,3836,2750.212958
24.0,3481,2756.941644
28.0,2542,2761.930368
25.0,3386,2768.32701
22.0,2484,2773.097212
36.0,4241,2781.179603
31.0,3595,2788.107309
32.0,3762,2795.329232
33.0,3709,2802.433446
41.0,4109,2810.393369
23.0,2377,2815.031281
26.0,2690,2820.165258
17.0,2317,2824.510956
42.0,3306,2830.973826
15.0,2749,2836.213977
28.0,4252,2844.507794
24.0,3049,2850.471848
16.0,2272,2854.88468
27.0,2846,2860.536646
33.0,2279,2864.879004
24.0,2895,2870.597124
12.0,2241,2874.862407
41.0,4178,2882.92492
32.0,3757,2890.048862
17.0,2083,2894.009403
18.0,2039,2897.902666
23.0,3177,2903.930711
42.0,3275,2910.17275
22.0,2507,2914.938237
18.0,2874,2920.360215
36.0,4087,2928.272251
50.0,4751,2937.415628
40.0,4269,2945.60427
26.0,3176,2951.666406
37.0,3965,2959.389163
24.0,3545,2966.188857
22.0,3235,2972.366455
38.0,2507,2977.137952
24.0,2860,2982.54946
47.0,4938,2992.222155
18.0,3194,2998.306712
23.0,2855,3003.657404
8.0,1735,3006.870277
22.0,3001,3012.705124
48.0,4781,3021.886101
28.0,3733,3029.162067
28.0,3842,3036.468483
36.0,3608,3043.413245
33.0,3739,3050.632218
38.0,4074,3058.446154
32.0,3920,3065.922108
63.0,4425,3074.537894
27.0,2466,3079.306958
35.0,3926,3086.775182
16.0,2836,3092.174033
32.0,4319,3100.575244
31.0,2729,3105.76764
27.0,3332,3112.068768
38.0,4334,3120.564591
34.0,3383,3126.9461
24.0,3356,3133.542197
21.0,2861,3138.908486
26.0,3617,3145.866978
30.0,2421,3150.535711
23.0,2922,3156.11584
16.0,2584,3161.059082
24.0,3455,3167.824393
28.0,3141,3173.895757
48.0,4447,3182.344404
27.0,3020,3188.146681
31.0,3788,3195.385241
40.0,4249,3203.621384
43.0,4531,3212.321839
37.0,4561,3221.160015
50.0,5183,3231.217923
53.0,3702,3238.361704
31.0,3347,3244.679358
36.0,4294,3253.113991
34.0,3073,3258.838629
40.0,4132,3266.838602
26.0,3623,3273.779364
40.0,4534,3282.539903
43.0,4499,3291.318469
28.0,3448,3297.840413
34.0,3479,3304.570361
33.0,4483,3313.257717
15.0,2493,3317.924211
29.0,3739,3325.08335
35.0,4417,3333.66738
21.0,2523,3338.486158
23.0,3265,3344.723085
28.0,3480,3351.493777
15.0,2081,3355.423807
47.0,4358,3363.677178
18.0,3015,3369.505006
24.0,3313,3375.79445
39.0,3802,3383.066694
34.0,4007,3390.828469
37.0,3786,3398.054155
44.0,3798,3405.302079
32.0,3741,3412.623904
51.0,4808,3421.880352
25.0,3338,3428.190061
50.0,5364,3438.656744
48.0,4557,3447.348631
35.0,4074,3455.205198
5.0,1143,3457.300899
36.0,4448,3465.952634
28.0,2921,3471.446772
44.0,4518,3480.214317
38.0,4688,3489.282529
16.0,2612,3494.251385
20.0,3397,3500.876227
28.0,3368,3507.258946
22.0,3160,3513.298562
41.0,3649,3520.412448
43.0,3943,3528.031914
15.0,2571,3532.944481
16.0,2636,3538.037594
12.0,2167,3542.115876
34.0,4574,3550.845671
35.0,4112,3558.744403
30.0,3966,3566.444534
45.0,4895,3575.850441
23.0,3430,3582.515749
30.0,3425,3589.192482
51.0,5058,3598.785822
43.0,4662,3607.829479
48.0,4594,3616.658542
37.0,4172,3624.669744
31.0,3971,3632.425516
46.0,5520,3642.983981
31.0,3494,3649.718718
34.0,3438,3656.432461
22.0,3571,3663.119824
42.0,4781,3672.519893
39.0,3967,3680.043872
26.0,3330,3686.545717
28.0,3309,3692.828926
18.0,2210,3697.039734
27.0,3831,3704.257474
22.0,2752,3709.687233
40.0,3649,3716.681113
27.0,3428,3723.145508
36.0,3948,3730.851537
29.0,2678,3735.913065
14.0,2445,3740.673331
36.0,3823,3748.017306
38.0,3855,3755.303629
