#{"t_start": 1760405989.5269659, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
19.0,2724,750.260968
15.0,2385,754.854985
17.0,2864,760.219683
18.0,2898,765.834872
20.0,3054,771.649381
20.0,3164,777.710187
17.0,1871,781.150655
13.0,2347,785.710404
25.0,2781,790.967093
13.0,2124,794.999035
18.0,2519,799.791171
20.0,3193,805.972897
22.0,2647,810.983665
13.0,2246,815.235442
29.0,2854,820.758628
14.0,2584,825.496445
18.0,2226,829.873984
21.0,2718,835.008143
16.0,2996,840.819376
25.0,3082,846.604172
21.0,2776,852.015978
16.0,2879,857.469813
11.0,2075,861.420616
20.0,2920,867.17368
17.0,2066,871.112386
25.0,3186,877.231743
16.0,2612,882.225193
18.0,2098,886.190227
22.0,2640,891.222792
16.0,2620,896.198144
18.0,2532,900.864739
28.0,2667,905.923404
23.0,2298,910.403448
28.0,2682,915.491636
32.0,3215,921.66385
25.0,2781,926.961003
31.0,3111,932.895458
31.0,3017,938.727446
18.0,2896,944.338333
23.0,3136,950.334211
19.0,2793,955.595
29.0,4053,963.480052
27.0,3281,969.727389
17.0,2614,974.683017
14.0,2358,979.107999
18.0,2735,984.45722
25.0,3420,990.943967
13.0,2584,995.854692
11.0,2139,999.983925
9.0,1882,1003.600524
23.0,3492,1010.152485
15.0,1763,1013.562158
18.0,2819,1018.87072
21.0,3093,1024.783183
22.0,2830,1030.124109
26.0,3284,1036.340903
16.0,2209,1040.725363
20.0,2639,1045.731524
16.0,2687,1050.863052
16.0,1666,1053.998529
17.0,3008,1059.795046
26.0,2980,1065.38204
16.0,2862,1070.909579
30.0,4068,1078.73856
24.0,2521,1083.447477
11.0,1789,1086.889534
17.0,2719,1092.061992
20.0,2494,1096.896404
19.0,1729,1100.080659
18.0,2751,1105.2723
20.0,2322,1109.785848
31.0,2621,1114.769298
29.0,2998,1120.3904
7.0,1522,1123.268021
19.0,2961,1128.96
21.0,2354,1133.403758
17.0,2051,1137.31735
34.0,2523,1142.145564
28.0,2675,1147.22956
23.0,2809,1152.515171
26.0,2334,1157.031204
16.0,2482,1161.703784
23.0,3052,1167.561239
24.0,3414,1174.198657
22.0,2968,1179.780057
15.0,2154,1184.011903
23.0,2338,1188.357516
28.0,3886,1195.836818
32.0,3359,1202.367123
31.0,3165,1208.402465
42.0,3848,1215.702088
31.0,3139,1221.683111
24.0,3203,1227.801449
17.0,2467,1232.585979
20.0,2731,1237.777293
22.0,2834,1243.295404
35.0,3950,1250.819327
22.0,2836,1256.31183
22.0,3165,1262.407743
29.0,2242,1266.66483
21.0,2902,1272.279073
41.0,3353,1278.642848
28.0,2484,1283.456829
23.0,3067,1289.34309
20.0,2663,1294.503193
24.0,3288,1300.745804
30.0,2830,1306.126518
19.0,2952,1311.914419
17.0,2643,1316.948395
28.0,2516,1321.755837
29.0,2190,1325.894723
21.0,2967,1331.465323
19.0,2711,1336.851815
21.0,1690,1340.037475
24.0,2794,1345.437307
36.0,2836,1350.855422
18.0,2514,1355.689743
27.0,3358,1362.230847
21.0,2361,1366.657221
31.0,3022,1372.455624
31.0,2814,1377.737832
29.0,2747,1382.984277
30.0,2559,1387.831349
27.0,2475,1392.703032
18.0,2502,1397.493406
22.0,2579,1402.403366
19.0,2355,1406.816031
33.0,2867,1412.370776
33.0,2384,1416.822836
30.0,3241,1422.968191
27.0,3209,1429.122401
23.0,3275,1435.518445
24.0,3017,1441.353003
36.0,3862,1448.724137
32.0,2829,1454.051447
30.0,3003,1459.837914
27.0,3350,1466.182504
27.0,3280,1472.590383
28.0,3012,1478.251247
30.0,2951,1483.881055
21.0,2244,1488.123082
32.0,3045,1493.964267
21.0,2629,1498.9814
26.0,3487,1505.721509
25.0,2198,1509.919336
32.0,2634,1514.892831
30.0,2961,1520.638586
19.0,2749,1525.836784
19.0,1896,1529.361247
20.0,2954,1535.02948
32.0,3531,1541.850743
19.0,2825,1547.119605
27.0,2291,1551.43102
15.0,2798,1556.858863
27.0,3912,1564.325715
16.0,2366,1568.905407
19.0,3261,1575.110427
20.0,3483,1581.811024
20.0,2922,1587.394258
22.0,3210,1593.470457
28.0,2459,1598.159767
12.0,2453,1602.859086
18.0,2929,1608.413817
12.0,2332,1612.907834
15.0,2547,1617.59825
25.0,2936,1623.31246
41.0,4219,1631.443236
33.0,2844,1636.985596
23.0,2289,1641.297496
17.0,3059,1647.188303
23.0,3111,1653.156311
26.0,3219,1659.276845
48.0,4045,1667.093036
24.0,2847,1672.488168
31.0,3611,1679.404969
24.0,3388,1685.876207
13.0,2413,1690.561191
17.0,2564,1695.44108
18.0,3083,1701.352698
18.0,3285,1707.60946
30.0,2341,1712.146515
16.0,2348,1716.55807
18.0,2840,1721.951426
22.0,2660,1726.948693
27.0,3904,1734.572852
16.0,1818,1737.959174
24.0,2425,1742.627011
21.0,3267,1748.826118
44.0,4332,1757.266131
25.0,2967,1762.848516
14.0,1538,1765.75993
24.0,3011,1771.544934
30.0,2585,1776.493492
19.0,2841,1781.967489
21.0,2992,1787.685835
17.0,2619,1792.680028
21.0,2478,1797.428266
20.0,2334,1801.778452
24.0,3237,1807.936016
15.0,2740,1813.186017
20.0,2964,1818.890699
39.0,4791,1828.089885
31.0,3497,1834.833619
34.0,3878,1842.265555
21.0,3175,1848.302681
18.0,2657,1853.565618
24.0,2832,1858.895222
28.0,3166,1864.944335
22.0,2638,1869.951782
26.0,2714,1875.175378
25.0,3024,1880.951413
28.0,2926,1886.439155
34.0,3691,1893.513361
30.0,3722,1900.844821
18.0,3158,1906.889786
23.0,1901,1910.351079
16.0,2168,1914.448297
23.0,2852,1919.953813
26.0,2717,1925.076587
28.0,3329,1931.395772
37.0,4572,1940.243012
27.0,2491,1945.059222
33.0,3784,1952.277033
28.0,3344,1958.662282
17.0,1786,1962.114269
13.0,1367,1964.554785
38.0,4675,1973.569746
27.0,3086,1979.577991
24.0,3496,1986.254369
30.0,3132,1992.195945
32.0,3914,1999.649537
16.0,2895,2005.285746
17.0,2839,2010.656076
30.0,2944,2016.368515
35.0,3160,2022.413028
13.0,2235,2026.627337
14.0,2516,2031.509329
17.0,3024,2037.331544
25.0,3189,2043.431823
21.0,2415,2047.939137
20.0,2294,2052.403677
17.0,2018,2056.207079
19.0,3000,2061.872254
14.0,1977,2065.630617
21.0,2445,2070.312766
17.0,2063,2074.284324
19.0,2296,2078.556602
19.0,2631,2083.54549
16.0,2131,2087.57107
31.0,3295,2093.813404
9.0,1908,2097.523425
27.0,3327,2103.853765
19.0,2498,2108.62324
17.0,2035,2112.524609
19.0,2759,2117.741795
18.0,2451,2122.472427
13.0,2058,2126.422326
20.0,3279,2132.629117
28.0,2465,2137.229047
28.0,3220,2143.567164
26.0,3734,2150.658079
21.0,2714,2155.814525
27.0,2696,2160.95149
31.0,4005,2168.687053
18.0,2805,2174.058931
13.0,2204,2178.219536
23.0,2627,2183.203971
11.0,2208,2187.343304
24.0,2913,2193.003897
28.0,3323,2199.3227
18.0,2043,2203.17386
25.0,2718,2208.355898
31.0,1873,2212.009903
26.0,3287,2218.256745
16.0,2758,2223.455413
29.0,2278,2227.846739
27.0,3119,2233.846808
24.0,3201,2239.937637
23.0,2285,2244.262225
21.0,3436,2250.92619
30.0,2506,2255.5938
38.0,4688,2264.621454
32.0,3212,2270.912228
22.0,3034,2276.580189
23.0,2273,2280.986437
33.0,3553,2287.657907
34.0,2806,2293.177072
23.0,2178,2297.256042
30.0,2424,2301.90644
25.0,3444,2308.414788
26.0,3645,2315.411862
20.0,1847,2318.98299
26.0,3667,2326.055222
16.0,2791,2331.324687
20.0,2869,2336.702626
15.0,2769,2342.115802
18.0,2130,2346.136865
18.0,2748,2351.321349
31.0,3254,2357.52347
26.0,3574,2364.459049
23.0,2949,2370.233409
29.0,3440,2376.716545
26.0,3057,2382.485069
28.0,3237,2388.620659
19.0,3048,2394.526575
35.0,3845,2401.863721
33.0,3936,2409.503659
17.0,2671,2414.597539
19.0,3158,2420.6303
19.0,2207,2424.820759
28.0,3669,2431.858678
39.0,4246,2440.020114
13.0,1845,2443.605146
27.0,3691,2450.675695
24.0,3210,2456.833855
22.0,2129,2460.87053
23.0,3258,2467.121099
29.0,4092,2475.017103
38.0,3542,2481.867556
22.0,2612,2486.912391
26.0,3196,2493.09883
3.0,873,2494.783037
20.0,2483,2499.416266
19.0,1852,2503.028228
25.0,2597,2508.0152
21.0,2753,2513.323085
56.0,4792,2522.612551
22.0,3203,2528.806098
24.0,3644,2535.99075
52.0,5130,2545.922915
38.0,4031,2553.709043
35.0,3997,2561.401835
19.0,2341,2565.850788
39.0,3691,2572.896898
29.0,3598,2579.836247
18.0,2925,2585.470621
16.0,2482,2590.070357
26.0,2069,2594.020595
31.0,3445,2600.785367
28.0,2916,2606.389694
70.0,5917,2618.027855
40.0,4522,2626.726308
31.0,4062,2634.619097
54.0,5836,2645.983584
50.0,3575,2652.857234
30.0,3664,2659.85776
29.0,3752,2667.157099
30.0,3274,2673.362571
39.0,3859,2680.719174
24.0,2492,2685.506226
17.0,2556,2690.402884
26.0,3727,2697.557287
24.0,3167,2703.641007
25.0,3592,2710.534428
35.0,4105,2718.415326
31.0,4406,2726.865641
40.0,4503,2735.567218
27.0,3791,2742.826719
33.0,4326,2751.093534
42.0,4805,2760.509425
55.0,5287,2770.729188
48.0,4528,2779.468037
19.0,3212,2785.634037
18.0,1959,2789.245887
25.0,2572,2794.134637
24.0,2337,2798.671414
24.0,3705,2805.77676
25.0,2907,2811.295207
41.0,4779,2820.713194
17.0,2348,2825.099759
23.0,3190,2831.240507
44.0,4752,2840.432169
39.0,3831,2848.064548
19.0,2428,2852.730964
24.0,3302,2859.304735
36.0,3858,2866.777258
21.0,3015,2872.718039
24.0,3434,2879.197408
16.0,2860,2884.775089
19.0,2856,2890.137765
37.0,3289,2896.409582
42.0,4842,2905.865559
39.0,3639,2912.820572
20.0,3160,2918.879838
33.0,3917,2926.325714
15.0,1557,2929.271087
36.0,4253,2937.462081
45.0,4839,2946.935069
29.0,3277,2953.154712
30.0,3365,2959.594274
17.0,2708,2964.871528
50.0,5341,2975.118792
46.0,4699,2984.175655
25.0,3504,2990.957091
20.0,3033,2996.622805
