#{"t_start": 1760405989.1999342, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,702,5.603305
2.0,743,6.994328
0.0,535,7.98086
4.0,1181,10.266147
1.0,707,11.567159
5.0,1320,14.265547
4.0,1210,16.605261
0.0,521,17.549649
2.0,886,19.34357
0.0,522,20.184185
0.0,543,21.179528
1.0,723,22.639381
0.0,518,23.627671
1.0,715,24.955489
0.0,490,25.915184
0.0,537,26.899623
1.0,647,28.04897
1.0,704,29.343747
0.0,524,30.320375
0.0,529,31.31432
3.0,922,33.001427
0.0,543,34.032728
2.0,900,35.873063
0.0,520,36.859493
2.0,834,38.338493
0.0,508,39.312866
2.0,816,40.935798
0.0,520,41.941494
0.0,541,42.757
2.0,833,44.350563
2.0,837,45.83158
1.0,635,47.002698
4.0,1216,49.466736
1.0,711,50.766005
2.0,903,52.565558
2.0,747,53.956862
1.0,647,55.134612
0.0,528,56.101603
0.0,518,57.100836
0.0,501,58.02051
0.0,524,58.98829
1.0,648,60.142286
0.0,541,61.11508
0.0,541,61.954218
5.0,1408,64.786618
5.0,1419,67.523784
2.0,825,68.991166
4.0,1188,71.333108
0.0,532,72.302979
3.0,990,74.253139
5.0,1422,77.066831
0.0,524,77.995254
5.0,1406,80.619787
4.0,1200,82.898123
0.0,508,83.85746
1.0,708,85.306737
0.0,517,86.117519
8.0,1507,89.077894
5.0,1426,91.919174
0.0,515,92.873454
5.0,1410,95.551797
0.0,520,96.458356
0.0,519,97.371795
5.0,1389,100.117795
0.0,523,101.098481
2.0,831,102.592235
1.0,653,103.792792
1.0,692,105.072881
0.0,525,106.037619
2.0,913,107.807197
0.0,529,108.779771
1.0,656,109.933011
4.0,1129,112.062858
1.0,647,113.187601
7.0,1695,116.487986
1.0,723,117.943157
5.0,1414,120.587506
2.0,809,122.208827
0.0,541,123.189918
0.0,532,124.144317
5.0,1406,126.77372
1.0,713,128.070385
0.0,512,129.020563
1.0,719,130.467847
4.0,1131,132.648438
5.0,1486,135.462365
0.0,539,136.410436
1.0,731,137.856771
5.0,1218,140.176124
5.0,1406,142.828939
10.0,1599,145.97031
1.0,627,147.07905
0.0,533,148.049163
0.0,515,149.02978
0.0,524,150.000012
18.0,2231,154.376251
4.0,1071,156.434766
8.0,1822,159.994636
0.0,508,160.917116
0.0,520,161.889793
5.0,1306,164.312462
9.0,1327,166.796622
0.0,516,167.768805
1.0,708,169.046553
0.0,532,169.996245
2.0,757,171.495689
1.0,715,172.805334
3.0,893,174.51803
1.0,699,175.772786
11.0,1896,179.3925
3.0,1119,181.484185
0.0,543,182.425543
0.0,543,183.384736
13.0,1482,186.246108
0.0,532,187.172548
11.0,1107,189.228724
15.0,2168,193.32099
0.0,527,194.255741
0.0,536,195.196579
0.0,516,196.145673
1.0,719,197.426575
8.0,1203,199.682084
18.0,2528,204.618162
6.0,1444,207.439337
12.0,2102,211.621917
13.0,1337,214.06383
2.0,900,215.837779
1.0,703,217.100333
1.0,700,218.369631
2.0,836,219.962389
9.0,1415,222.550381
11.0,1699,225.848618
0.0,523,226.788953
1.0,719,228.246016
11.0,1947,231.889256
7.0,1003,233.809459
13.0,2131,237.933546
13.0,2424,242.616115
5.0,1183,244.797249
16.0,2239,249.05227
20.0,2345,253.702018
8.0,1135,255.786708
7.0,1027,257.689302
15.0,2210,261.890264
10.0,2117,265.936483
5.0,1195,268.1299
7.0,1805,271.566102
4.0,1243,274.01296
16.0,2334,278.434722
9.0,1711,281.640577
5.0,1263,284.111973
18.0,2522,288.905879
6.0,1621,292.029252
9.0,2005,295.838758
9.0,2023,299.73892
10.0,1599,302.746857
11.0,1966,306.633136
8.0,1786,309.887182
13.0,1398,312.575104
6.0,1447,315.146086
5.0,1340,317.745489
6.0,1613,320.800993
6.0,1626,323.839988
4.0,1288,326.228524
4.0,1235,328.683354
10.0,1527,331.41384
6.0,1455,334.181241
7.0,1810,337.686234
7.0,1583,340.516778
18.0,2560,345.355446
12.0,2046,349.309545
8.0,1199,351.48901
16.0,1923,355.17369
15.0,1630,358.243886
11.0,1803,361.602149
16.0,2518,366.488975
5.0,1324,369.071768
11.0,1692,372.215939
22.0,2712,377.417803
8.0,1683,380.620971
7.0,1595,383.682299
11.0,1888,387.374284
8.0,1779,390.692341
19.0,3249,396.922772
7.0,1667,400.126454
16.0,2272,404.535947
15.0,2456,409.193713
13.0,2228,413.484076
8.0,1849,417.039645
10.0,1434,419.821773
20.0,2429,424.340796
13.0,1434,427.098385
13.0,2212,431.249431
13.0,2111,435.270919
18.0,2183,439.395309
19.0,2612,444.377124
12.0,1298,446.890836
14.0,1509,449.66242
28.0,3086,455.623376
16.0,2719,460.860209
15.0,1704,464.181396
8.0,1740,467.436234
8.0,1704,470.656405
15.0,2014,474.58239
19.0,2571,479.56442
15.0,1746,482.842364
20.0,3134,488.878152
17.0,2474,493.757222
16.0,2591,498.71725
16.0,2422,503.21883
14.0,1631,506.278424
15.0,2101,510.254436
18.0,2399,514.848062
