#{"t_start": 1760358203.381485, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,821,302.967789
4.0,1136,304.838315
0.0,517,305.695264
4.0,1142,307.59651
0.0,525,308.429164
6.0,1507,310.972435
3.0,1044,312.65941
0.0,516,313.452706
0.0,517,314.238569
0.0,524,315.035508
1.0,630,316.070242
5.0,1496,318.610595
4.0,1294,320.756254
0.0,535,321.569283
2.0,834,322.869811
3.0,936,324.421621
0.0,513,325.333075
2.0,810,326.681299
2.0,803,328.004138
1.0,636,328.975543
0.0,527,329.800924
1.0,628,330.766932
0.0,527,331.589052
5.0,1316,333.771615
0.0,505,334.53974
1.0,714,335.684729
2.0,825,336.975938
0.0,509,337.81732
1.0,706,338.983716
1.0,696,340.092804
2.0,817,341.39946
0.0,521,342.211756
1.0,632,343.190002
2.0,806,344.512393
2.0,888,345.98637
0.0,503,346.766922
0.0,528,347.580514
0.0,512,348.38304
1.0,734,349.537803
1.0,705,350.652915
0.0,522,351.498686
1.0,711,352.637822
1.0,693,353.726667
1.0,712,354.855395
2.0,833,356.171446
1.0,702,357.308341
0.0,514,358.092969
0.0,516,358.875064
0.0,525,359.690428
0.0,541,360.485998
3.0,948,362.071964
2.0,819,363.373842
3.0,892,364.807373
0.0,525,365.658432
2.0,814,366.992255
0.0,517,367.753608
0.0,527,368.523881
0.0,508,369.293858
2.0,919,370.777816
1.0,696,371.875865
1.0,726,373.019683
1.0,737,374.188988
0.0,527,375.007633
0.0,517,375.806576
4.0,1194,377.801316
0.0,516,378.63165
9.0,1714,381.556364
2.0,820,382.915895
2.0,892,384.337433
1.0,696,385.481143
2.0,838,386.832097
1.0,650,387.860397
0.0,525,388.672411
1.0,731,389.842487
1.0,713,390.986445
1.0,640,391.987547
5.0,1298,394.130958
2.0,840,395.485702
1.0,728,396.631186
0.0,543,397.453407
1.0,643,398.563396
0.0,518,399.393771
0.0,530,400.254112
1.0,637,401.239301
3.0,1018,402.957646
0.0,535,403.792264
2.0,818,405.128672
1.0,634,406.183434
0.0,521,406.995103
0.0,520,407.778761
1.0,703,408.909276
1.0,712,410.062493
0.0,520,410.836713
1.0,721,411.996904
0.0,543,412.828494
3.0,1009,414.531784
0.0,528,415.341149
1.0,702,416.492121
0.0,518,417.337453
3.0,1008,419.024796
1.0,635,420.02843
0.0,532,420.85381
1.0,698,421.984401
0.0,512,422.782326
