#{"t_start": 1760358203.7253613, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,1040,4.387522
1.0,712,5.303568
1.0,698,6.199567
2.0,810,7.273043
1.0,706,8.180453
1.0,703,9.08284
0.0,536,9.753125
1.0,631,10.589233
1.0,710,11.474624
2.0,840,12.550406
3.0,869,13.723558
0.0,533,14.417427
0.0,532,15.102484
0.0,523,15.799967
1.0,729,16.720812
0.0,516,17.409374
1.0,688,18.403866
4.0,1208,20.067692
0.0,519,20.724242
0.0,517,21.376417
1.0,711,22.286623
2.0,896,23.443823
1.0,628,24.273036
2.0,890,25.434596
3.0,1014,26.76973
0.0,534,27.458676
2.0,807,28.533654
1.0,632,29.341775
0.0,535,29.994669
1.0,628,30.790442
2.0,795,31.841135
1.0,618,32.671584
0.0,519,33.332578
0.0,524,34.014891
0.0,508,34.706798
0.0,507,35.38522
0.0,524,36.04944
2.0,771,37.027594
1.0,723,37.949737
1.0,707,38.864309
0.0,505,39.493008
2.0,843,40.565717
2.0,898,41.776367
0.0,537,42.466308
2.0,817,43.509917
1.0,619,44.306914
3.0,972,45.593265
3.0,998,46.908367
3.0,1089,48.362267
1.0,619,49.20013
0.0,536,49.839252
2.0,912,51.040046
2.0,912,52.249136
0.0,515,52.921771
5.0,1412,54.794859
2.0,829,55.869298
2.0,818,56.967958
0.0,516,57.608052
1.0,621,58.464511
0.0,507,59.090521
0.0,508,59.7413
4.0,1070,61.154951
4.0,1208,62.748776
1.0,707,63.68627
0.0,523,64.347502
0.0,527,65.007945
0.0,537,65.688642
3.0,1080,67.168978
3.0,959,68.441363
2.0,805,69.525029
0.0,530,70.162233
1.0,721,71.088763
1.0,719,72.063987
2.0,835,73.141952
1.0,696,74.035656
2.0,886,75.232275
4.0,1210,76.85209
2.0,821,77.96953
2.0,830,79.0583
0.0,501,79.663843
5.0,1420,81.597274
2.0,767,82.568481
0.0,511,83.200096
2.0,835,84.254588
8.0,1498,86.253296
1.0,636,87.057806
2.0,828,88.159562
3.0,1008,89.497073
0.0,517,90.17918
2.0,906,91.351088
2.0,816,92.436625
0.0,512,93.103566
0.0,519,93.785984
0.0,519,94.417948
0.0,540,95.127872
0.0,541,95.799267
0.0,517,96.494061
0.0,515,97.185863
3.0,1071,98.63205
0.0,524,99.298499
0.0,527,99.972142
0.0,531,100.631056
0.0,508,101.268308
0.0,524,101.942447
4.0,1207,103.601027
0.0,535,104.260606
