#{"t_start": 1760358203.2166748, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,647,4.323745
3.0,1078,5.788539
1.0,700,6.688863
2.0,789,7.698209
2.0,753,8.705837
0.0,522,9.330702
1.0,620,10.154044
0.0,509,10.81189
2.0,825,11.867848
3.0,1016,13.227714
3.0,1097,14.706687
2.0,818,15.856544
1.0,691,16.788937
2.0,812,17.884144
0.0,523,18.64516
2.0,903,19.844265
0.0,537,20.493467
0.0,501,21.147666
1.0,701,22.071252
4.0,1214,23.667616
1.0,641,24.491047
0.0,529,25.169659
1.0,648,25.9749
2.0,804,27.007503
0.0,520,27.676248
0.0,514,28.330604
1.0,690,29.262056
6.0,1494,31.317615
3.0,942,32.567827
3.0,1085,34.059121
3.0,1014,35.498875
0.0,522,36.154829
1.0,644,36.988364
2.0,813,38.021256
1.0,630,38.842728
1.0,698,39.744643
4.0,1184,41.310306
0.0,517,41.933883
0.0,535,42.620062
0.0,524,43.290064
1.0,645,44.095045
1.0,631,44.894105
0.0,541,45.564964
0.0,513,46.21433
3.0,997,47.517741
0.0,508,48.137913
1.0,636,48.945767
0.0,539,49.629539
2.0,826,50.71861
2.0,824,51.795671
1.0,716,52.709382
0.0,529,53.379357
2.0,814,54.422674
0.0,516,55.057666
0.0,516,55.730654
3.0,1020,57.080402
2.0,839,58.150318
0.0,534,58.820926
2.0,901,60.028047
0.0,541,60.705176
2.0,821,61.777369
2.0,814,62.810629
1.0,714,63.712243
0.0,540,64.396307
0.0,517,65.064087
0.0,532,65.723567
0.0,529,66.392274
1.0,712,67.289702
1.0,630,68.114883
0.0,543,68.78033
0.0,533,69.457568
5.0,1405,71.367265
0.0,512,72.016712
0.0,511,72.717809
2.0,826,73.783237
0.0,521,74.399956
1.0,695,75.311708
2.0,806,76.388485
0.0,536,77.043627
0.0,540,77.727982
0.0,507,78.370711
3.0,1030,79.751221
3.0,1024,81.076106
0.0,541,81.748032
12.0,1638,83.998655
1.0,687,84.882398
0.0,522,85.517172
0.0,518,86.17592
3.0,1123,87.682407
0.0,532,88.334378
2.0,823,89.429798
1.0,633,90.231
2.0,764,91.227302
2.0,905,92.435356
1.0,648,93.287655
1.0,619,94.107687
2.0,849,95.268205
0.0,532,95.929148
1.0,648,96.789157
0.0,532,97.464827
0.0,525,98.116298
0.0,541,98.769956
2.0,825,99.898444
5.0,1398,101.840589
1.0,719,102.817546
0.0,511,103.478091
3.0,990,104.843308
1.0,698,105.754103
2.0,829,106.851236
0.0,509,107.485058
0.0,527,108.158815
4.0,1051,109.508284
4.0,1146,111.052169
5.0,1418,112.968382
1.0,690,113.87556
0.0,501,114.502814
3.0,1022,115.90037
2.0,896,117.111064
1.0,638,117.914269
1.0,637,118.717573
5.0,1498,120.910877
1.0,720,121.863934
1.0,655,122.696484
2.0,898,123.871462
0.0,532,124.519542
3.0,1019,125.830045
0.0,528,126.474719
0.0,535,127.155003
1.0,712,128.083276
0.0,522,128.729989
2.0,821,129.788342
6.0,1698,132.056549
0.0,521,132.694554
0.0,538,133.343767
2.0,910,134.543955
2.0,813,135.58745
3.0,935,136.844208
0.0,519,137.495757
3.0,1092,139.017121
0.0,532,139.665558
0.0,508,140.333344
1.0,703,141.262562
0.0,509,141.928129
2.0,836,142.994766
1.0,716,143.900544
1.0,717,144.821294
1.0,717,145.736477
6.0,1606,149.030952
2.0,756,150.261299
1.0,735,151.457234
0.0,520,152.282102
2.0,824,153.614221
3.0,1106,155.38411
3.0,875,156.816784
1.0,713,157.922865
1.0,712,159.092981
5.0,1250,161.182712
1.0,647,162.23572
0.0,523,163.047529
3.0,1026,164.689126
0.0,519,165.484564
2.0,896,166.922904
0.0,524,167.731055
1.0,709,168.875429
2.0,830,170.183559
4.0,1206,172.193844
3.0,1102,174.014167
0.0,500,174.8019
2.0,738,175.99679
0.0,519,176.791349
0.0,515,177.587536
0.0,519,178.40859
0.0,520,179.235012
3.0,1024,180.883852
4.0,1221,182.866331
2.0,840,184.206063
1.0,735,185.314288
2.0,756,186.486679
0.0,524,187.330007
0.0,535,188.135961
1.0,637,189.141061
4.0,1208,191.148518
1.0,712,192.283347
0.0,495,193.072892
1.0,695,194.167245
2.0,825,195.464651
0.0,531,196.326323
2.0,840,197.693441
0.0,536,198.494424
0.0,515,199.288598
0.0,520,200.076976
0.0,516,200.880095
2.0,765,202.086877
1.0,692,203.220678
1.0,707,204.320746
1.0,717,205.417605
2.0,819,206.708791
2.0,819,208.056519
2.0,802,209.342566
2.0,831,210.667912
4.0,1210,212.627934
2.0,829,213.942134
1.0,635,214.905755
3.0,938,216.401709
0.0,511,217.209208
1.0,709,218.336648
1.0,715,219.515009
0.0,524,220.331298
1.0,633,221.327369
2.0,823,222.637437
0.0,529,223.445386
0.0,507,224.200036
0.0,539,225.007735
1.0,628,226.003363
1.0,698,227.136682
2.0,818,228.437488
0.0,527,229.266277
2.0,804,230.559828
5.0,1270,232.648535
0.0,499,233.422101
3.0,952,234.959657
1.0,655,235.96558
2.0,817,237.245207
2.0,827,238.580817
0.0,509,239.360327
0.0,525,240.168515
0.0,511,240.975602
5.0,1246,243.015079
0.0,515,243.818262
1.0,731,244.953537
6.0,1556,247.494413
0.0,520,248.279465
2.0,898,249.744243
0.0,542,250.576557
0.0,524,251.391997
0.0,510,252.204826
2.0,826,253.507989
3.0,1014,255.186634
2.0,823,256.571437
3.0,1012,258.195536
4.0,1210,260.180358
1.0,729,261.411738
0.0,535,262.245446
1.0,691,263.340728
0.0,517,264.150687
1.0,686,265.270493
0.0,507,266.095842
0.0,539,266.926379
3.0,1020,268.589676
1.0,712,269.744697
2.0,919,271.225656
0.0,524,272.023382
1.0,708,273.170974
2.0,812,274.454677
0.0,502,275.224053
2.0,882,276.709203
1.0,709,277.800052
0.0,527,278.646599
3.0,947,280.181995
1.0,640,281.214512
1.0,727,282.376485
0.0,515,283.175627
0.0,515,283.992732
0.0,519,284.792176
0.0,543,285.616786
1.0,693,286.728749
1.0,697,287.847914
3.0,1075,289.623048
0.0,535,290.439455
1.0,719,291.602773
0.0,531,292.400441
0.0,535,293.190692
2.0,824,294.510975
1.0,724,295.68908
0.0,519,296.478435
0.0,519,297.288054
0.0,536,298.112128
1.0,716,299.215766
0.0,527,300.062492
1.0,693,301.157152
6.0,1466,303.580373
0.0,521,304.386731
1.0,706,305.554912
1.0,641,306.562021
1.0,645,307.605854
2.0,834,308.981755
0.0,522,309.761506
2.0,836,311.111558
2.0,830,312.45379
2.0,919,313.944934
0.0,531,314.770127
0.0,525,315.569802
0.0,517,316.386181
2.0,833,317.719414
0.0,527,318.528704
0.0,537,319.323608
0.0,533,320.124681
0.0,543,320.939771
3.0,1020,322.596446
2.0,810,323.892639
2.0,910,325.528623
1.0,633,326.512016
0.0,528,327.323794
0.0,517,328.1292
2.0,821,329.437669
4.0,1094,331.22898
2.0,826,332.573574
2.0,843,333.88791
0.0,516,334.674373
1.0,617,335.664124
2.0,744,336.871889
1.0,622,337.88516
0.0,519,338.708541
13.0,1938,341.996122
3.0,1080,343.787574
1.0,688,344.899361
0.0,507,345.709021
3.0,1100,347.532776
4.0,1203,349.549667
0.0,525,350.377225
2.0,826,351.724145
2.0,825,353.025419
1.0,714,354.16201
1.0,690,355.283332
2.0,828,356.612998
2.0,921,358.107142
4.0,1212,360.114204
1.0,710,361.256629
2.0,825,362.573326
3.0,1013,364.198657
1.0,687,365.334697
2.0,826,366.713334
6.0,1618,369.326195
7.0,1574,371.994879
1.0,651,373.020279
1.0,715,374.166425
0.0,525,374.978767
2.0,833,376.348952
3.0,1018,378.002324
0.0,543,378.850703
0.0,521,379.657728
0.0,527,380.467657
1.0,708,381.572733
0.0,500,382.369336
3.0,1010,384.021913
0.0,517,384.853997
3.0,1012,386.516552
0.0,520,387.319061
0.0,534,388.15788
0.0,508,388.958562
1.0,727,390.139222
0.0,542,390.958023
2.0,908,392.451815
0.0,531,393.251234
2.0,843,394.591683
0.0,517,395.402613
1.0,700,396.532954
2.0,760,397.781794
0.0,502,398.655487
1.0,628,399.722479
1.0,627,400.752069
1.0,632,401.776603
0.0,511,402.563878
2.0,818,403.91026
3.0,875,405.351716
0.0,508,406.160259
4.0,1228,408.235602
2.0,807,409.529839
3.0,954,411.096532
4.0,1087,412.894828
0.0,527,413.734412
1.0,623,414.741278
1.0,712,415.904083
1.0,717,417.057638
2.0,800,418.396282
0.0,528,419.239403
1.0,651,420.246658
10.0,1730,423.226649
3.0,915,424.752395
0.0,543,425.593094
2.0,809,426.933342
1.0,647,427.985194
1.0,627,429.006022
5.0,1394,431.360959
0.0,531,432.168884
0.0,516,432.999811
0.0,517,433.824972
1.0,718,435.012383
1.0,641,436.034599
0.0,520,436.876104
2.0,773,438.125623
0.0,523,439.015398
2.0,916,440.506763
2.0,745,441.745337
0.0,506,442.570412
4.0,1214,444.6336
1.0,628,445.646794
3.0,951,447.222562
0.0,513,448.021917
0.0,522,448.854765
0.0,516,449.692409
1.0,716,450.814441
1.0,632,451.824716
0.0,527,452.671092
1.0,731,453.839833
1.0,705,454.960233
2.0,763,456.185356
0.0,499,457.006697
0.0,522,457.814063
0.0,537,458.671463
1.0,651,459.733624
3.0,1089,461.544161
9.0,1624,464.282879
0.0,498,465.099995
1.0,713,466.222185
1.0,619,467.231407
0.0,524,468.049373
0.0,513,468.868611
2.0,882,470.304528
0.0,515,471.114655
0.0,513,471.953984
