#{"t_start": 1760358203.5518162, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,710,4.089134
0.0,521,4.750494
3.0,1014,6.08212
0.0,541,6.751331
1.0,718,7.662254
0.0,503,8.286663
0.0,539,8.9471
3.0,872,10.133693
4.0,1208,11.75575
2.0,901,12.934431
0.0,536,13.57899
0.0,531,14.244973
0.0,519,14.933737
0.0,521,15.615912
1.0,717,16.561058
0.0,512,17.208087
0.0,512,17.956886
0.0,509,18.631294
0.0,528,19.275736
1.0,700,20.188493
0.0,540,20.867846
3.0,1108,22.356161
2.0,811,23.407183
2.0,827,24.49889
3.0,984,25.809763
0.0,529,26.439374
1.0,724,27.405781
0.0,525,28.054732
1.0,635,28.872444
5.0,1400,30.781482
2.0,742,31.743781
0.0,528,32.440316
0.0,520,33.091734
0.0,525,33.763805
0.0,524,34.431077
1.0,708,35.386967
1.0,637,36.248171
5.0,1384,38.078495
1.0,629,38.891816
2.0,814,39.988264
2.0,812,41.028432
2.0,823,42.100326
0.0,508,42.75436
2.0,804,43.81622
1.0,645,44.616714
2.0,826,45.683704
1.0,708,46.55871
3.0,1004,47.88703
2.0,835,48.986816
2.0,825,50.074687
1.0,701,50.96843
2.0,818,52.043269
0.0,514,52.722461
0.0,517,53.370685
4.0,1202,54.946114
4.0,1200,56.571061
0.0,518,57.239453
0.0,508,57.88386
0.0,508,58.556274
1.0,627,59.354057
2.0,884,60.562221
0.0,537,61.209065
3.0,1098,62.645956
1.0,700,63.554949
3.0,1008,64.949597
3.0,1026,66.34352
0.0,511,66.9828
2.0,826,68.043837
0.0,525,68.733469
2.0,893,69.918233
2.0,818,70.981308
1.0,698,71.916408
3.0,928,73.18693
3.0,941,74.425155
4.0,1082,75.84583
1.0,641,76.656374
0.0,517,77.345644
4.0,1285,79.124706
4.0,1204,80.759304
2.0,752,81.748534
1.0,710,82.649853
0.0,516,83.291487
6.0,1452,85.248282
1.0,712,86.155413
3.0,996,87.498636
1.0,706,88.431246
0.0,521,89.064939
1.0,731,90.019025
0.0,516,90.674963
2.0,836,91.754026
2.0,822,92.855214
1.0,706,93.811062
1.0,723,94.747297
1.0,630,95.612399
0.0,536,96.282697
0.0,528,96.971864
4.0,1125,98.50684
0.0,525,99.147906
0.0,537,99.84318
0.0,515,100.515305
3.0,1024,101.895164
0.0,501,102.560169
0.0,507,103.229988
2.0,840,104.304641
1.0,706,105.233791
1.0,694,106.167882
2.0,809,107.21858
0.0,522,107.893566
2.0,739,108.816322
0.0,525,109.497254
2.0,810,110.564104
0.0,528,111.237051
5.0,1334,113.013619
4.0,1288,114.766648
0.0,501,115.403857
1.0,723,116.401537
1.0,627,117.219741
0.0,509,117.84031
1.0,705,118.912025
0.0,512,119.530369
0.0,541,120.215674
0.0,516,120.87923
1.0,633,121.716706
1.0,717,122.621618
1.0,716,123.513584
0.0,521,124.161975
2.0,821,125.220972
1.0,730,126.166516
1.0,715,127.138811
1.0,701,128.045076
1.0,734,128.987681
0.0,528,129.634827
0.0,532,130.26783
0.0,513,130.876932
4.0,1292,132.592627
0.0,519,133.233331
1.0,716,134.129139
2.0,894,135.31426
0.0,535,135.966223
0.0,535,136.627714
0.0,511,137.2754
0.0,501,137.921281
0.0,525,138.601867
0.0,515,139.262912
0.0,537,139.950215
3.0,944,141.206806
2.0,772,142.205749
0.0,511,142.856188
2.0,899,144.010493
0.0,540,144.678853
2.0,906,145.870725
0.0,499,146.510181
5.0,1294,149.50258
0.0,543,150.35081
1.0,735,151.522869
0.0,511,152.333888
0.0,532,153.151638
0.0,522,153.938049
0.0,516,154.724176
2.0,847,156.113334
3.0,1016,157.78127
0.0,519,158.634837
2.0,800,159.933065
1.0,647,160.933423
0.0,523,161.767826
1.0,697,162.920196
1.0,627,163.905137
4.0,1206,165.882192
1.0,656,166.891571
4.0,1233,168.937279
2.0,901,170.378046
1.0,702,171.505086
1.0,623,172.501087
0.0,534,173.295176
1.0,629,174.261632
0.0,525,175.077507
0.0,532,175.894701
0.0,525,176.704392
0.0,516,177.537851
2.0,833,178.871448
1.0,651,179.886978
2.0,823,181.199876
2.0,791,182.469164
1.0,715,183.619117
0.0,517,184.406721
4.0,1134,186.273603
0.0,531,187.082908
1.0,723,188.233606
1.0,711,189.396561
1.0,715,190.517824
0.0,520,191.329018
2.0,761,192.537551
0.0,528,193.360868
2.0,814,194.64936
0.0,521,195.454923
2.0,823,196.826784
0.0,512,197.636294
2.0,908,199.102741
2.0,832,200.392359
0.0,515,201.213524
0.0,527,202.009459
0.0,521,202.820561
4.0,1034,204.522058
2.0,767,205.72455
0.0,520,206.52256
1.0,702,207.638096
0.0,515,208.448605
0.0,541,209.256451
3.0,1047,210.928825
3.0,1020,212.554824
0.0,515,213.326744
0.0,527,214.114088
2.0,899,215.545838
0.0,517,216.342218
1.0,713,217.479627
0.0,523,218.285523
1.0,713,219.430164
1.0,739,220.608414
3.0,1106,222.448631
3.0,1085,224.207361
0.0,527,225.0365
1.0,714,226.158701
1.0,621,227.156867
3.0,866,228.558922
1.0,712,229.683684
0.0,535,230.50287
1.0,651,231.500151
3.0,1032,233.176951
0.0,534,233.992255
8.0,2030,237.387274
4.0,1151,239.273672
1.0,628,240.276679
0.0,535,241.105637
0.0,503,241.907103
2.0,876,243.311192
2.0,809,244.634967
0.0,515,245.403013
4.0,1110,247.213723
3.0,933,248.753802
1.0,705,249.884028
1.0,637,250.909991
2.0,759,252.147771
2.0,764,253.338171
0.0,535,254.154709
2.0,897,255.649736
0.0,526,256.486333
0.0,520,257.29591
1.0,621,258.263034
2.0,907,259.686666
1.0,719,260.887445
2.0,829,262.254573
2.0,822,263.559529
1.0,695,264.703018
0.0,519,265.527584
0.0,535,266.351954
0.0,521,267.177212
2.0,817,268.4969
0.0,527,269.277289
0.0,490,270.052332
3.0,1021,271.771699
0.0,507,272.564703
1.0,709,273.69686
1.0,620,274.671681
0.0,523,275.456317
0.0,523,276.274435
0.0,528,277.086485
0.0,517,277.885556
2.0,840,279.271897
2.0,906,280.737682
1.0,644,281.765575
0.0,527,282.570932
0.0,523,283.374032
3.0,1000,285.047402
0.0,525,285.844447
0.0,535,286.651759
1.0,632,287.644026
1.0,712,288.736998
3.0,1010,290.408545
0.0,539,291.212375
2.0,833,292.531083
2.0,839,293.852017
1.0,644,294.876578
2.0,891,296.358481
2.0,830,297.698518
1.0,688,298.777204
0.0,539,299.62875
3.0,1026,301.265597
3.0,1078,303.052184
0.0,528,303.842652
0.0,521,304.649361
0.0,528,305.508956
0.0,512,306.313262
0.0,536,307.138548
0.0,528,307.9727
0.0,542,308.808891
1.0,698,309.911943
2.0,779,311.174742
0.0,511,311.961251
8.0,1440,314.391861
0.0,535,315.204548
1.0,723,316.405612
1.0,692,317.527943
3.0,1004,319.16901
0.0,543,319.98277
0.0,528,320.782344
0.0,521,321.577447
3.0,1004,323.1773
0.0,502,323.954675
1.0,620,324.976421
2.0,771,326.318599
1.0,683,327.431534
1.0,700,328.552845
3.0,933,330.06621
1.0,704,331.181014
0.0,519,331.95804
1.0,715,333.087999
2.0,896,334.558778
4.0,1206,336.571238
0.0,512,337.383375
2.0,756,338.656956
1.0,703,339.762721
0.0,533,340.581312
1.0,717,341.701952
2.0,898,343.169676
1.0,639,344.158725
1.0,637,345.142547
4.0,1082,346.947721
1.0,636,347.959775
3.0,1110,349.814685
0.0,542,350.646917
1.0,700,351.808996
4.0,1209,353.782123
7.0,1638,356.570857
4.0,1293,358.75592
4.0,1230,360.747452
1.0,651,361.769316
1.0,621,362.753705
2.0,832,364.063626
0.0,523,364.884984
0.0,519,365.712698
0.0,527,366.512398
12.0,1744,369.375083
0.0,521,370.161285
0.0,528,370.957379
0.0,528,371.763309
1.0,725,372.922568
1.0,606,373.874702
3.0,1088,375.735068
2.0,821,377.04098
4.0,1226,379.12124
0.0,529,379.952285
2.0,812,381.251406
1.0,639,382.273212
5.0,1232,384.301638
0.0,532,385.099106
0.0,525,385.928118
0.0,525,386.725117
1.0,634,387.734879
2.0,828,389.08403
1.0,712,390.239794
2.0,837,391.597479
1.0,641,392.58238
0.0,532,393.401566
2.0,769,394.618368
2.0,907,396.064196
3.0,941,397.637122
2.0,815,399.089886
0.0,515,399.936153
3.0,885,401.373109
0.0,532,402.190228
0.0,537,403.025951
2.0,813,404.379568
1.0,713,405.526881
0.0,519,406.375527
2.0,745,407.572783
4.0,1185,409.546359
2.0,909,411.058857
1.0,728,412.207791
0.0,525,413.040463
1.0,705,414.182619
2.0,802,415.518056
2.0,838,416.902437
0.0,514,417.712373
0.0,506,418.497039
5.0,1269,420.632304
1.0,708,421.76764
2.0,813,423.120094
1.0,636,424.136992
1.0,698,425.308344
1.0,708,426.445379
0.0,516,427.280878
0.0,510,428.097587
0.0,507,428.930447
0.0,520,429.717845
1.0,717,430.866822
1.0,644,431.873074
0.0,508,432.695494
0.0,525,433.521246
0.0,526,434.321516
2.0,810,435.66654
0.0,511,436.483771
0.0,516,437.336195
1.0,629,438.39316
1.0,710,439.527977
0.0,521,440.336761
2.0,814,441.7104
2.0,817,443.031872
0.0,532,443.87226
0.0,514,444.731179
1.0,698,445.851717
0.0,499,446.635669
0.0,517,447.482492
0.0,534,448.299648
3.0,945,449.902565
4.0,1069,451.664371
0.0,543,452.510348
1.0,706,453.641725
2.0,825,454.967028
1.0,636,455.999227
0.0,530,456.845662
0.0,508,457.637883
3.0,1014,459.366729
2.0,759,460.602242
1.0,644,461.596853
0.0,535,462.422182
0.0,543,463.221667
1.0,697,464.330952
1.0,633,465.336479
0.0,505,466.11375
0.0,519,466.932302
0.0,517,467.737312
4.0,1200,469.726485
1.0,719,470.922619
3.0,1100,472.768383
1.0,684,473.900495
3.0,1021,475.564897
0.0,515,476.36628
0.0,517,477.221312
0.0,522,478.071269
7.0,1334,480.316981
2.0,755,481.561421
4.0,1196,483.579297
1.0,649,484.625583
1.0,640,485.653346
3.0,1040,487.396056
2.0,902,488.840215
2.0,809,490.197357
1.0,626,491.17286
0.0,524,491.988359
5.0,1402,494.327321
0.0,520,495.131973
1.0,644,496.179653
1.0,639,497.182784
0.0,529,497.976799
2.0,884,499.446043
1.0,726,500.557133
0.0,516,501.369504
0.0,524,502.219061
0.0,532,503.068907
